english,spanish
you,tú
i,yo
the,el
to,a
a,un
s,es
it,él
and,y
that,eso
t,no
of,de
is,es
in,en
what,qué
we,nosotros
me,a mí
this,este
he,él
for,para
my,mi
on,en
have,tener
your,su
do,hacer
was,era
m,soy
no,no
not,no
be,ser
are,son
don,no
re,eres
know,saber
can,poder
doing,haciendo
help,ayuda
still,todavía
sir,señor
their,su
must,debe
stop,detener
talk,hablar
home,casa
those,esos
told,dijo
always,siempre
leave,dejar
doesn,no
feel,sentir
made,hecho
big,grande
get,conseguir
she,ella
go,ir
if,si
right,bien
out,afuera
about,acerca de
up,arriba
at,en
him,a él
now,ahora
oh,Vaya
one,uno
come,venir
well,Bueno
her,su
how,cómo
yeah,sí
ve,he
will,voluntad
got,consiguió
want,desear
think,pensar
like,como
ll,todos
they,ellos
here,aquí
there,allá
just,justo
so,entonces
all,todo
but,pero
with,con
can,poder
sure,seguro
first,primero
find,encontrar
day,día
uh,eh
before,antes de
call,llamar
away,lejos
night,noche
last,último
mr.,Sr.
keep,mantener
does,hace
name,nombre
guys,chicos
old,viejo
as,como
see,ver
did,hizo
good,bien
who,OMS
why,por qué
from,de
let,dejar
his,su
yes,Sí
when,cuando
going,yendo
time,tiempo
an,un
okay,bueno
back,atrás
look,mirar
us,a nosotros
would,lo haría
them,a ellos
where,dónde
were,eran
take,llevar
then,entonces
never,nunca
people,gente
because,porque
please,por favor
should,debería
said,dijo
give,dar
am,soy
any,algún
even,incluso
thing,cosa
into,en
life,vida
god,dios
again,otra vez
other,otro
after,después
than,que
put,poner
better,mejor
new,nuevo
long,largo
money,dinero
place,lugar
father,padre
isn,no es
had,tenía
or,o
been,estado
our,nuestro
gonna,ir a
tell,decir
really,en realidad
man,hombre
some,alguno
say,decir
hey,Oye
could,podría
d,haría
didn,no
by,por
need,necesitar
something,algo
has,tiene
too,también
more,más
way,camino
down,abajo
make,hacer
very,muy
only,solamente
over,encima
little,pequeño
love,amor
mean,significar
sorry,lo siento
off,apagado
thank,gracias
two,dos
much,mucho
these,estos
anything,cualquier cosa
nothing,nada
work,trabajo
maybe,tal vez
wait,esperar
won,ganará
thought,pensamiento
great,genial
everything,todo
things,cosas
years,años
around,alrededor
ever,alguna vez
guy,chico
which,cual